순위,단어,품사,초성
648,가깝다,형,ㄱㄲㄷ
1716,가난하다,형,ㄱㄴㅎㄷ
2757,가늘다,형,ㄱㄴㄷ
501,가능하다,형,ㄱㄴㅎㄷ
3561,가득하다,형,ㄱㄷㅎㄷ
1189,가볍다,형,ㄱㅂㄷ
1336,간단하다,형,ㄱㄷㅎㄷ
7160,간편하다,형,ㄱㅍㅎㄷ
3847,감사하다,형,ㄱㅅㅎㄷ
4580,갑작스럽다,형,ㄱㅈㅅㄹㄷ
6946,값싸다,형,ㄱㅆㄷ
1738,강력하다,형,ㄱㄹㅎㄷ
3514,강렬하다,형,ㄱㄹㅎㄷ
584,강하다,형,ㄱㅎㄷ
22,같다,형,ㄱㄷ
1958,거대하다,형,ㄱㄷㅎㄷ
2306,거칠다,형,ㄱㅊㄷ
5850,걱정스럽다,형,ㄱㅈㅅㄹㄷ
1297,건강하다,형,ㄱㄱㅎㄷ
3388,건전하다,형,ㄱㅈㅎㄷ
8659,건조하다,형,ㄱㅈㅎㄷ
1585,검다,형,ㄱㄷ
13080,게으르다,형,ㄱㅇㄹㄷ
8305,고급스럽다,형,ㄱㄱㅅㄹㄷ
5175,고르다,형,ㄱㄹㄷ
857,고맙다,형,ㄱㅁㄷ
8307,고소하다,형,ㄱㅅㅎㄷ
3851,고요하다,형,ㄱㅇㅎㄷ
3674,고통스럽다,형,ㄱㅌㅅㄹㄷ
5860,고프다,형,ㄱㅍㄷ
3675,곤란하다,형,ㄱㄹㅎㄷ
6180,곧다,형,ㄱㄷ
1326,곱다,형,ㄱㄷ
813,괜찮다,형,ㄱㅊㄷ
3516,괴롭다,형,ㄱㄹㄷ
9052,굉장하다,형,ㄱㅈㅎㄷ
3259,굳다,형,ㄱㄷ
1937,굵다,형,ㄱㄷ
1849,궁금하다,형,ㄱㄱㅎㄷ
2617,귀엽다,형,ㄱㅇㄷ
4772,귀중하다,형,ㄱㅈㅎㄷ
3679,귀찮다,형,ㄱㅊㄷ
3221,귀하다,형,ㄱㅎㄷ
426,그러하다,형,ㄱㄹㅎㄷ
5727,그럴듯하다,형,ㄱㄹㄷㅎㄷ
38,그렇다,형,ㄱㄹㄷ
3853,그립다,형,ㄱㄹㄷ
6550,그만하다,형,ㄱㅁㅎㄷ
2437,급하다,형,ㄱㅎㄷ
5326,기막히다,형,ㄱㅁㅎㄷ
1625,기쁘다,형,ㄱㅃㄷ
386,길다,형,ㄱㄷ
461,깊다,형,ㄱㄷ
3264,까맣다,형,ㄲㅁㄷ
5463,깔끔하다,형,ㄲㄲㅎㄷ
1471,깨끗하다,형,ㄲㄲㅎㄷ
5464,꼼꼼하다,형,ㄲㄲㅎㄷ
9952,꾸준하다,형,ㄲㅈㅎㄷ
4498,끊임없다,형,ㄲㅇㅇㄷ
4186,끝없다,형,ㄲㅇㄷ
873,나쁘다,형,ㄴㅃㄷ
3857,날카롭다,형,ㄴㅋㄹㄷ
1940,낡다,형,ㄴㄷ
1696,낫다,형,ㄴㄷ
974,낮다,형,ㄴㄷ
2209,낯설다,형,ㄴㅅㄷ
4500,넉넉하다,형,ㄴㄴㅎㄷ
638,넓다,형,ㄴㄷ
3109,노랗다,형,ㄴㄹㄷ
1829,놀랍다,형,ㄴㄹㄷ
277,높다,형,ㄴㄷ
4334,눈부시다,형,ㄴㅂㅅㄷ
3860,느리다,형,ㄴㄹㄷ
949,늦다,형,ㄴㄷ
163,다르다,형,ㄷㄹㄷ
3400,다름없다,형,ㄷㄹㅇㄷ
595,다양하다,형,ㄷㅇㅎㄷ
4880,다정하다,형,ㄷㅈㅎㄷ
4987,단단하다,형,ㄷㄷㅎㄷ
1217,단순하다,형,ㄷㅅㅎㄷ
4881,달다,형,ㄷㄷ
2618,답답하다,형,ㄷㄷㅎㄷ
3401,당당하다,형,ㄷㄷㅎㄷ
1311,당연하다,형,ㄷㅇㅎㄷ
2248,대단하다,형,ㄷㄷㅎㄷ
3269,더럽다,형,ㄷㄹㄷ
2678,덥다,형,ㄷㄷ
1398,독특하다,형,ㄷㅌㅎㄷ
6212,독하다,형,ㄷㅎㄷ
9105,동그랗다,형,ㄷㄱㄹㄷ
2620,동일하다,형,ㄷㅇㅎㄷ
2827,두껍다,형,ㄷㄲㄷ
2860,두드러지다,형,ㄷㄷㄹㅈㄷ
3034,두렵다,형,ㄷㄹㄷ
2155,둥글다,형,ㄷㄱㄷ
3271,뒤늦다,형,ㄷㄴㄷ
1960,드물다,형,ㄷㅁㄷ
1312,따뜻하다,형,ㄸㄸㅎㄷ
5744,따스하다,형,ㄸㅅㅎㄷ
4200,딱딱하다,형,ㄸㄸㅎㄷ
5890,떠들썩하다,형,ㄸㄷㅆㅎㄷ
1376,똑같다,형,ㄸㄱㄷ
3864,똑똑하다,형,ㄸㄸㅎㄷ
11721,뚱뚱하다,형,ㄸㄸㅎㄷ
1661,뛰어나다,형,ㄸㅇㄴㄷ
1178,뜨겁다,형,ㄸㄱㄷ
2799,마땅하다,형,ㅁㄸㅎㄷ
3866,만만하다,형,ㅁㅁㅎㄷ
7505,만족스럽다,형,ㅁㅈㅅㄹㄷ
3804,만족하다,형,ㅁㅈㅎㄷ
43,많다,형,ㅁㄷ
1077,맑다,형,ㅁㄷ
15475,맛없다,형,ㅁㅇㄷ
1020,맛있다,형,ㅁㅇㄷ
6050,맵다,형,ㅁㄷ
718,멀다,형,ㅁㄷ
5206,멋있다,형,ㅁㅇㄷ
3350,멋지다,형,ㅁㅈㄷ
3984,명확하다,형,ㅁㅎㅎㄷ
3867,못되다,형,ㅁㄷㄷ
11104,못생기다,형,ㅁㅅㄱㄷ
2213,못지않다,형,ㅁㅈㅇㄷ
3927,못하다,형,ㅁㅎㄷ
1662,무겁다,형,ㅁㄱㄷ
10024,무관심하다,형,ㅁㄱㅅㅎㄷ
9129,무덥다,형,ㅁㄷㄷ
4891,무리하다,형,ㅁㄹㅎㄷ
10027,무사하다,형,ㅁㅅㅎㄷ
1051,무섭다,형,ㅁㅅㄷ
6224,무의미하다,형,ㅁㅇㅁㅎㄷ
9563,무책임하다,형,ㅁㅊㅇㅎㄷ
13330,미끄럽다,형,ㅁㄲㄹㄷ
1484,미안하다,형,ㅁㅇㅎㄷ
3581,밀접하다,형,ㅁㅈㅎㄷ
3689,밉다,형,ㅁㄷ
1565,바람직하다,형,ㅂㄹㅈㅎㄷ
1135,바르다,형,ㅂㄹㄷ
868,바쁘다,형,ㅂㅃㄷ
1868,반갑다,형,ㅂㄱㄷ
1322,밝다,형,ㅂㄷ
5212,밤늦다,형,ㅂㄴㄷ
5905,배고프다,형,ㅂㄱㅍㄷ
8757,배부르다,형,ㅂㅂㄹㄷ
6415,번거롭다,형,ㅂㄱㄹㄷ
3471,별다르다,형,ㅂㄷㄹㄷ
1347,복잡하다,형,ㅂㅈㅎㄷ
2356,부끄럽다,형,ㅂㄲㄹㄷ
