순위,단어,품사,초성
422,각,관,ㄱ
9,그,관,ㄱ
54,그런,관,ㄱㄹ
22829,넉,관,ㄴ
1304,네,관,ㄴ
10452,넷째,관,ㄴㅉ
82,다른,관,ㄷㄹ
20314,다섯째,관,ㄷㅅㅉ
2001,단,관,ㄷ
8342,대여섯,관,ㄷㅇㅅ
1879,동,관,ㄷ
63,두,관,ㄷ
5473,두세,관,ㄷㅅ
4505,두어,관,ㄷㅇ
2679,둘째,관,ㄷㅉ
2111,딴,관,ㄸ
3865,만,관,ㅁ
7226,만,관,ㅁ
1750,맨,관,ㅁ
186,몇,관,ㅁ
2112,몇몇,관,ㅁㅁ
7234,몇십,관,ㅁㅅ
5613,모,관,ㅁ
137,모든,관,ㅁㄷ
221,무슨,관,ㅁㅅ
2410,백,관,ㅂ
2681,별,관,ㅂ
6068,본,관,ㅂ
466,새,관,ㅅ
3240,서너,관,ㅅㄴ
4907,석,관,ㅅ
413,세,관,ㅅ
5023,셋째,관,ㅅㅉ
8126,수만,관,ㅅㅁ
4285,수백,관,ㅅㅂ
2714,수십,관,ㅅㅅ
4076,수천,관,ㅅㅊ
4078,스무,관,ㅅㅁ
748,아무,관,ㅇㅁ
1028,아무런,관,ㅇㅁㄹ
677,약,관,ㅇ
3592,양,관,ㅇ
133,어느,관,ㅇㄴ
67,어떤,관,ㅇㄸ
117,여러,관,ㅇㄹ
1445,옛,관,ㅇ
1254,오랜,관,ㅇㄹ
1465,온,관,ㅇ
1630,온갖,관,ㅇㄱ
1951,올,관,ㅇ
7079,요,관,ㅇ
3047,웬,관,ㅇ
14,이,관,ㅇ
83,이런,관,ㅇㄹ
3767,이런저런,관,ㅇㄹㅈㄹ
5960,일대,관,ㅇㄷ
460,저,관,ㅈ
3773,저런,관,ㅈㄹ
712,전,관,ㅈ
534,전,관,ㅈ
2749,주,관,ㅈ
3090,천,관,ㅊ
670,첫,관,ㅊ
4386,첫째,관,ㅊㅉ
2670,총,관,ㅊ
27,한,관,ㅎ
1712,한두,관,ㅎㄷ
4956,헌,관,ㅎ
1757,현,관,ㅎ
