순위,단어,품사,초성
1695,가까이,부,ㄱㄲㅇ
852,가끔,부,ㄱㄲ
1196,가득,부,ㄱㄷ
7971,가득히,부,ㄱㄷㅎ
1956,가령,부,ㄱㄹ
9888,가만,부,ㄱㅁ
1706,가만히,부,ㄱㅁㅎ
127,가장,부,ㄱㅈ
751,각각,부,ㄱㄱ
3213,각기,부,ㄱㄱ
3562,각자,부,ㄱㅈ
2987,간단히,부,ㄱㄷㅎ
4034,간신히,부,ㄱㅅㅎ
3786,간혹,부,ㄱㅎ
3723,갈수록,부,ㄱㅅㄹ
3563,감히,부,ㄱㅎ
475,갑자기,부,ㄱㅈㄱ
4757,강력히,부,ㄱㄹㅎ
203,같이,부,ㄱㅇ
2989,거꾸로,부,ㄱㄲㄹ
3306,거듭,부,ㄱㄷ
306,거의,부,ㄱㅇ
1415,게다가,부,ㄱㄷㄱ
1648,겨우,부,ㄱㅇ
752,결코,부,ㄱㅋ
405,계속,부,ㄱㅅ
3175,고작,부,ㄱㅈ
307,곧,부,ㄱ
3215,곧바로,부,ㄱㅂㄹ
9044,곧이어,부,ㄱㅇㅇ
3970,곧잘,부,ㄱㅈ
4767,곧장,부,ㄱㅈ
4258,골고루,부,ㄱㄱㄹ
6017,공연히,부,ㄱㅇㅎ
865,과연,부,ㄱㅇ
5077,관계없이,부,ㄱㄱㅇㅇ
2071,괜히,부,ㄱㅎ
2190,굉장히,부,ㄱㅈㅎ
2435,굳이,부,ㄱㅇ
2307,그나마,부,ㄱㄴㅁ
303,그냥,부,ㄱㄴ
2463,그다지,부,ㄱㄷㅈ
340,그대로,부,ㄱㄷㄹ
6189,그때그때,부,ㄱㄸㄱㄸ
134,그래서,부,ㄱㄹㅅ
34,그러나,부,ㄱㄹㄴ
785,그러니까,부,ㄱㄹㄴㄲ
636,그러면,부,ㄱㄹㅁ
1127,그러므로,부,ㄱㄹㅁㄹ
4326,그런대로,부,ㄱㄹㄷㄹ
142,그런데,부,ㄱㄹㄷ
457,그럼,부,ㄱㄹ
1120,그렇지만,부,ㄱㄹㅈㅁ
1388,그리,부,ㄱㄹ
52,그리고,부,ㄱㄹㄱ
9484,그리로,부,ㄱㄹㄹ
1183,그리하여,부,ㄱㄹㅎㅇ
745,그만,부,ㄱㅁ
1532,그만큼,부,ㄱㅁㅋ
2308,그야말로,부,ㄱㅇㅁㄹ
1197,그저,부,ㄱㅈ
4261,그제서야,부,ㄱㅈㅅㅇ
5866,그제야,부,ㄱㅈㅇ
3222,그토록,부,ㄱㅌㄹ
2991,극히,부,ㄱㅎ
563,근데,부,ㄱㄷ
1597,금방,부,ㄱㅂ
3571,금세,부,ㄱㅅ
5324,급격히,부,ㄱㄱㅎ
5460,급속히,부,ㄱㅅㅎ
4676,급히,부,ㄱㅎ
4980,깊숙이,부,ㄱㅅㅇ
1634,깊이,부,ㄱㅇ
9500,깜빡,부,ㄲㅃ
2762,깜짝,부,ㄲㅉ
1939,깨끗이,부,ㄲㄲㅇ
2993,꼭,부,ㄲ
397,꼭,부,ㄲ
5590,꼼짝,부,ㄲㅉ
3395,꽉,부,ㄲ
1608,꽤,부,ㄲ
2889,꾸준히,부,ㄲㅈㅎ
1839,끊임없이,부,ㄲㅇㅇㅇ
2332,끝내,부,ㄲㄴ
4408,끝없이,부,ㄲㅇㅇ
2353,나란히,부,ㄴㄹㅎ
2405,내내,부,ㄴㄴ
3520,내일,부,ㄴㅇ
2592,내지,부,ㄴㅈ
225,너무,부,ㄴㅁ
1152,너무나,부,ㄴㅁㄴ
1492,널리,부,ㄴㄹ
2566,높이,부,ㄴㅇ
707,늘,부,ㄴ
89,다,부,ㄷ
713,다만,부,ㄷㅁ
1191,다소,부,ㄷㅅ
81,다시,부,ㄷㅅ
3915,다행히,부,ㄷㅎㅎ
1804,단순히,부,ㄷㅅㅎ
1380,단지,부,ㄷㅈ
703,달리,부,ㄷㄹ
6038,당분간,부,ㄷㅂㄱ
2567,당연히,부,ㄷㅇㅎ
6770,대강,부,ㄷㄱ
1709,대개,부,ㄷㄱ
2249,대단히,부,ㄷㄷㅎ
5195,대략,부,ㄷㄹ
4991,대체,부,ㄷㅊ
1685,대체로,부,ㄷㅊㄹ
2824,대충,부,ㄷㅊ
46,더,부,ㄷ
1473,더구나,부,ㄷㄱㄴ
7211,더더욱,부,ㄷㄷㅇ
273,더욱,부,ㄷㅇ
4992,더욱더,부,ㄷㅇㄷ
2334,더욱이,부,ㄷㅇㅇ
2154,덜,부,ㄷ
1158,도대체,부,ㄷㄷㅊ
4417,도로,부,ㄷㄹ
5199,도리어,부,ㄷㄹㅇ
2548,도저히,부,ㄷㅈㅎ
2996,되게,부,ㄷㄱ
2078,드디어,부,ㄷㄷㅇ
268,따라서,부,ㄸㄹㅅ
1313,따로,부,ㄸㄹ
9996,따로따로,부,ㄸㄹㄸㄹ
3524,딱,부,ㄸ
1851,딱,부,ㄸ
7749,때때로,부,ㄸㄸㄹ
1353,때로,부,ㄸㄹ
40,또,부,ㄸ
250,또는,부,ㄸㄴ
2177,또다시,부,ㄸㄷㅅ
248,또한,부,ㄸㅎ
2622,똑같이,부,ㄸㄱㅇ
5201,똑바로,부,ㄸㅂㄹ
5891,뜻대로,부,ㄸㄷㄹ
6219,뜻밖에,부,ㄸㅂㅇ
2571,마구,부,ㅁㄱ
4789,마음껏,부,ㅁㅇㄲ
2921,마음대로,부,ㅁㅇㄷㄹ
2250,마주,부,ㅁㅈ
580,마치,부,ㅁㅊ
2265,마침,부,ㅁㅊ
1507,마침내,부,ㅁㅊㄴ
1817,막,부,ㅁ
1159,막,부,ㅁ
3742,막상,부,ㅁㅅ
98,많이,부,ㅁㅇ
3145,말없이,부,ㅁㅇㅇ
9552,맘대로,부,ㅁㄷㄹ
2767,매년,부,ㅁㄴ
5897,매달,부,ㅁㄷ
10013,매번,부,ㅁㅂ
393,매우,부,ㅁㅇ
1272,매일,부,ㅁㅇ
6995,매주,부,ㅁㅈ
283,먼저,부,ㅁㅈ
997,멀리,부,ㅁㄹ
32365,멍멍,부,ㅁㅁ
145,모두,부,ㅁㄷ
5104,모조리,부,ㅁㅈㄹ
3406,모처럼,부,ㅁㅊㄹ
2312,몰래,부,ㅁㄹ
1687,몹시,부,ㅁㅅ
207,못,부,ㅁ
3072,무려,부,ㅁㄹ
2313,무조건,부,ㅁㅈㄱ
1169,무척,부,ㅁㅊ
1688,문득,부,ㅁㄷ
213,물론,부,ㅁㄹ
1242,미리,부,ㅁㄹ
3038,미처,부,ㅁㅊ
245,및,부,ㅁ
132,바로,부,ㅂㄹ
5489,바싹,부,ㅂㅆ
781,반드시,부,ㅂㄷㅅ
