순위,단어,품사,초성,은이-는가
1195,가게,명,ㄱㄱ,1
898,가격,명,ㄱㄱ,0
2986,가구,명,ㄱㄱ,1
7434,가구,명,ㄱㄱ,1
3560,가까이,명,ㄱㄲㅇ,1
5071,가난,명,ㄱㄴ,0
6942,가능,명,ㄱㄴ,0
483,가능성,명,ㄱㄴㅅ,0
9014,가로,명,ㄱㄹ,1
5311,가로등,명,ㄱㄹㄷ,0
8286,가로수,명,ㄱㄹㅅ,1
2789,가루,명,ㄱㄹ,1
2884,가르침,명,ㄱㄹㅊ,0
4755,가뭄,명,ㄱㅁ,0
1530,가방,명,ㄱㅂ,0
4483,가사,명,ㄱㅅ,1
3784,가상,명,ㄱㅅ,0
2000,가수,명,ㄱㅅ,1
2053,가스,명,ㄱㅅ,1
384,가슴,명,ㄱㅅ,0
3904,가슴속,명,ㄱㅅㅅ,0
6526,가요,명,ㄱㅇ,1
264,가운데,명,ㄱㅇㄷ,1
6172,가위,명,ㄱㅇ,1
1268,가을,명,ㄱㅇ,0
5167,가이드,명,ㄱㅇㄷ,1
4397,가입,명,ㄱㅇ,0
4484,가입자,명,ㄱㅇㅈ,1
3454,가장,명,ㄱㅈ,0
715,가정,명,ㄱㅈ,0
4398,가정,명,ㄱㅈ,0
6349,가정교사,명,ㄱㅈㄱㅅ,1
409,가족,명,ㄱㅈ,0
5072,가죽,명,ㄱㅈ,0
2124,가지,명,ㄱㅈ,1
4668,가짜,명,ㄱㅉ,1
550,가치,명,ㄱㅊ,1
3063,가치관,명,ㄱㅊㄱ,0
8645,가톨릭,명,ㄱㅌㄹ,0
4178,각각,명,ㄱㄱ,0
2885,각국,명,ㄱㄱ,0
5706,각오,명,ㄱㅇ,1
3785,각자,명,ㄱㅈ,1
815,각종,명,ㄱㅈ,0
3905,간,명,ㄱ,0
3620,간,명,ㄱ,0
4179,간격,명,ㄱㄱ,0
2187,간부,명,ㄱㅂ,1
4577,간섭,명,ㄱㅅ,0
8290,간식,명,ㄱㅅ,0
3100,간장,명,ㄱㅈ,0
4756,간접,명,ㄱㅈ,0
6735,간접적,명,ㄱㅈㅈ,0
3906,간판,명,ㄱㅍ,0
7977,간호,명,ㄱㅎ,1
7438,간호사,명,ㄱㅎㅅ,1
1010,갈등,명,ㄱㄷ,0
12246,갈비,명,ㄱㅂ,1
38470,갈비탕,명,ㄱㅂㅌ,0
3342,갈색,명,ㄱㅅ,0
4578,갈증,명,ㄱㅈ,0
8293,감,명,ㄱ,0
5312,감,명,ㄱ,0
1240,감각,명,ㄱㄱ,0
3343,감기,명,ㄱㄱ,1
671,감독,명,ㄱㄷ,0
2432,감동,명,ㄱㄷ,0
7161,감동적,명,ㄱㄷㅈ,0
6352,감사,명,ㄱㅅ,1
6530,감상,명,ㄱㅅ,0
5170,감소,명,ㄱㅅ,1
5445,감수성,명,ㄱㅅㅅ,0
3385,감옥,명,ㄱㅇ,0
3513,감자,명,ㄱㅈ,1
846,감정,명,ㄱㅈ,0
9892,감정적,명,ㄱㅈㅈ,0
7979,갑,명,ㄱ,0
788,값,명,ㄱ,0
1812,강,명,ㄱ,0
3344,강남,명,ㄱㄴ,0
8651,강당,명,ㄱㄷ,0
4669,강도,명,ㄱㄷ,1
4967,강도,명,ㄱㄷ,1
2988,강물,명,ㄱㅁ,0
9433,강변,명,ㄱㅂ,0
9894,강북,명,ㄱㅂ,0
5577,강사,명,ㄱㅅ,1
5578,강수량,명,ㄱㅅㄹ,0
14028,강아지,명,ㄱㅇㅈ,1
5000,강원도,고,ㄱㅇㄷ,1
3101,강의,명,ㄱㅇ,1
2275,강제,명,ㄱㅈ,1
7683,강조,명,ㄱㅈ,1
3725,갖가지,명,ㄱㄱㅈ,1
1569,개,명,ㄱ,1
5313,개개인,명,ㄱㄱㅇ,0
4486,개구리,명,ㄱㄱㄹ,1
7440,개나리,명,ㄱㄴㄹ,1
3565,개미,명,ㄱㅁ,1
1296,개방,명,ㄱㅂ,0
4322,개별,명,ㄱㅂ,0
1562,개선,명,ㄱㅅ,0
1788,개성,명,ㄱㅅ,0
562,개인,명,ㄱㅇ,0
2758,개인적,명,ㄱㅇㅈ,0
2490,객관적,명,ㄱㄱㅈ,0
3102,거,대,ㄱ,1
293,거기,대,ㄱㄱ,1
1258,거리,명,ㄱㄹ,1
1148,거리,명,ㄱㄹ,1
2675,거실,명,ㄱㅅ,0
3967,거액,명,ㄱㅇ,0
2109,거울,명,ㄱㅇ,0
4039,거짓,명,ㄱㅈ,0
2246,거짓말,명,ㄱㅈㅁ,0
4040,거품,명,ㄱㅍ,0
1129,걱정,명,ㄱㅈ,0
647,건강,명,ㄱㄱ,0
7984,건너,명,ㄱㄴ,1
5448,건너편,명,ㄱㄴㅍ,0
9030,건넌방,명,ㄱㄴㅂ,0
649,건물,명,ㄱㅁ,0
790,건설,명,ㄱㅅ,0
3849,건조,명,ㄱㅈ,1
2616,건축,명,ㄱㅊ,0
8660,걷기,명,ㄱㄱ,1
1647,걸음,명,ㄱㅇ,0
3025,검사,명,ㄱㅅ,1
1512,검사,명,ㄱㅅ,1
3064,검은색,명,ㄱㅇㅅ,0
38923,검정색,명,ㄱㅈㅅ,0
2850,검토,명,ㄱㅌ,1
2644,겁,명,ㄱ,0
2759,겉,명,ㄱ,0
4761,게,명,ㄱ,1
7687,게시판,명,ㄱㅅㅍ,0
877,게임,명,ㄱㅇ,0
920,겨울,명,ㄱㅇ,0
6009,겨울철,명,ㄱㅇㅊ,0
5711,겨자,명,ㄱㅈ,1
1470,견해,명,ㄱㅎ,1
211,결과,명,ㄱㄱ,1
4487,결과적,명,ㄱㄱㅈ,0
352,결국,명,ㄱㄱ,0
1513,결론,명,ㄱㄹ,0
16464,결석,명,ㄱㅅ,0
4113,결승,명,ㄱㅅ,0
4763,결심,명,ㄱㅅ,0
1092,결정,명,ㄱㅈ,0
601,결혼,명,ㄱㅎ,0
3389,결혼식,명,ㄱㅎㅅ,0
2461,경계,명,ㄱㄱ,1
2702,경고,명,ㄱㄱ,1
2543,경기,명,ㄱㄱ,1
739,경기,명,ㄱㄱ,1
5000,경기도,고,ㄱㄱㄷ,1
3624,경기장,명,ㄱㄱㅈ,0
3672,경력,명,ㄱㄹ,0
5000,경복궁,고,ㄱㅂㄱ,0
4968,경비,명,ㄱㅂ,1
5000,경상도,고,ㄱㅅㄷ,1
1034,경영,명,ㄱㅇ,0
65,경우,명,ㄱㅇ,1
