순위,단어,품사,초성
4964,가까워지다,동,ㄱㄲㅇㅈㄷ
1747,가꾸다,동,ㄱㄲㄷ
6003,가능해지다,동,ㄱㄴㅎㅈㄷ
25,가다,동,ㄱㄷ
3173,가라앉다,동,ㄱㄹㅇㄷ
6170,가려지다,동,ㄱㄹㅈㄷ
4576,가로막다,동,ㄱㄹㅁㄷ
4177,가르다,동,ㄱㄹㄷ
698,가르치다,동,ㄱㄹㅊㄷ
2913,가리다,동,ㄱㄹㄷ
2305,가리다,동,ㄱㄹㄷ
1367,가리키다,동,ㄱㄹㅋㄷ
7158,가만있다,동,ㄱㅁㅇㄷ
5168,가입하다,동,ㄱㅇㅎㄷ
3512,가져가다,동,ㄱㅈㄱㄷ
5704,가져다주다,동,ㄱㅈㄷㅈㄷ
1060,가져오다,동,ㄱㅈㅇㄷ
94,가지다,동,ㄱㅈㄷ
3099,가하다,동,ㄱㅎㄷ
3621,갇히다,동,ㄱㅎㄷ
6736,갈다,동,ㄱㄷ
2401,갈다,동,ㄱㄷ
4035,갈아입다,동,ㄱㅇㅇㄷ
9018,갈아타다,동,ㄱㅇㅌㄷ
2125,감다,동,ㄱㄷ
4036,감다,동,ㄱㄷ
4966,감사하다,동,ㄱㅅㅎㄷ
4321,감상하다,동,ㄱㅅㅎㄷ
9431,감소되다,동,ㄱㅅㄷㄷ
4485,감소하다,동,ㄱㅅㅎㄷ
3174,감싸다,동,ㄱㅆㄷ
2092,감추다,동,ㄱㅊㄷ
3564,강요하다,동,ㄱㅇㅎㄷ
10371,강의하다,동,ㄱㅇㅎㄷ
631,강조하다,동,ㄱㅈㅎㄷ
2151,강화하다,동,ㄱㅎㅎㄷ
190,갖다,동,ㄱㄷ
784,갖추다,동,ㄱㅊㄷ
4038,같이하다,동,ㄱㅇㅎㄷ
3386,갚다,동,ㄱㄷ
8296,개다,동,ㄱㄷ
2565,개발되다,동,ㄱㅂㄷㄷ
1269,개발하다,동,ㄱㅂㅎㄷ
5708,개방되다,동,ㄱㅂㄷㄷ
3787,개방하다,동,ㄱㅂㅎㄷ
4758,개선되다,동,ㄱㅅㄷㄷ
3137,개선하다,동,ㄱㅅㅎㄷ
1579,거두다,동,ㄱㄷㄷ
5447,거들다,동,ㄱㄷㄷ
1864,거부하다,동,ㄱㅂㅎㄷ
3726,거절하다,동,ㄱㅈㅎㄷ
819,거치다,동,ㄱㅊㄷ
10384,걱정되다,동,ㄱㅈㄷㄷ
2491,걱정하다,동,ㄱㅈㅎㄷ
4255,건너가다,동,ㄱㄴㄱㄷ
2276,건너다,동,ㄱㄴㄷ
7167,건너오다,동,ㄱㄴㅇㄷ
4760,건네다,동,ㄱㄴㄷ
4112,건네주다,동,ㄱㄴㅈㄷ
3907,건드리다,동,ㄱㄷㄹㄷ
5851,건설되다,동,ㄱㅅㄷㄷ
2263,건설하다,동,ㄱㅅㅎㄷ
2790,건지다,동,ㄱㅈㄷ
546,걷다,동,ㄱㄷ
5314,걷다,동,ㄱㄷ
7985,걷다,동,ㄱㄷ
716,걸다,동,ㄱㄷ
380,걸리다,동,ㄱㄹㄷ
1970,걸어가다,동,ㄱㅇㄱㄷ
4041,걸어오다,동,ㄱㅇㅇㄷ
837,걸치다,동,ㄱㅊㄷ
7987,겁나다,동,ㄱㄴㄷ
838,겪다,동,ㄱㄷ
1341,견디다,동,ㄱㄷㄷ
25684,결석하다,동,ㄱㅅㅎㄷ
3623,결심하다,동,ㄱㅅㅎㄷ
1986,결정되다,동,ㄱㅈㄷㄷ
1033,결정하다,동,ㄱㅈㅎㄷ
1130,결혼하다,동,ㄱㅎㅎㄷ
5712,경고하다,동,ㄱㄱㅎㄷ
6746,경영하다,동,ㄱㅇㅎㄷ
2170,경험하다,동,ㄱㅎㅎㄷ
2916,계산하다,동,ㄱㅅㅎㄷ
1075,계속되다,동,ㄱㅅㄷㄷ
1149,계속하다,동,ㄱㅅㅎㄷ
1163,계시다,동,ㄱㅅㄷ
4862,계획하다,동,ㄱㅎㅎㄷ
1490,고려하다,동,ㄱㄹㅎㄷ
1496,고르다,동,ㄱㄹㄷ
3104,고민하다,동,ㄱㅁㅎㄷ
3065,고생하다,동,ㄱㅅㅎㄷ
3969,고집하다,동,ㄱㅈㅎㄷ
1503,고치다,동,ㄱㅊㄷ
2703,공개하다,동,ㄱㄱㅎㄷ
4182,공격하다,동,ㄱㄱㅎㄷ
807,공부하다,동,ㄱㅂㅎㄷ
9462,공연되다,동,ㄱㅇㄷㄷ
10400,공연하다,동,ㄱㅇㅎㄷ
6541,공통되다,동,ㄱㅌㄷㄷ
3791,관계되다,동,ㄱㄱㄷㄷ
1288,관련되다,동,ㄱㄹㄷㄷ
1481,관련하다,동,ㄱㄹㅎㄷ
3909,관리하다,동,ㄱㄹㅎㄷ
2070,관찰하다,동,ㄱㅊㅎㄷ
301,관하다,동,ㄱㅎㄷ
9474,괴로워하다,동,ㄱㄹㅇㅎㄷ
4489,괴롭히다,동,ㄱㄹㅎㄷ
4582,교환하다,동,ㄱㅎㅎㄷ
3176,구경하다,동,ㄱㄱㅎㄷ
3974,구르다,동,ㄱㄹㄷ
5722,구별되다,동,ㄱㅂㄷㄷ
3731,구별하다,동,ㄱㅂㅎㄷ
5181,구분되다,동,ㄱㅂㄷㄷ
2735,구분하다,동,ㄱㅂㅎㄷ
1397,구성되다,동,ㄱㅅㄷㄷ
1684,구성하다,동,ㄱㅅㅎㄷ
3346,구속되다,동,ㄱㅅㄷㄷ
4770,구속하다,동,ㄱㅅㅎㄷ
2229,구입하다,동,ㄱㅇㅎㄷ
1125,구하다,동,ㄱㅎㄷ
6187,구하다,동,ㄱㅎㄷ
3260,굳어지다,동,ㄱㅇㅈㄷ
5724,굳히다,동,ㄱㅎㄷ
3261,굶다,동,ㄱㄷ
1892,굽다,동,ㄱㄷ
2760,굽히다,동,ㄱㅎㄷ
2330,권하다,동,ㄱㅎㄷ
7188,귀가하다,동,ㄱㄱㅎㄷ
3307,귀국하다,동,ㄱㄱㅎㄷ
79,그러다,동,ㄱㄹㄷ
2888,그려지다,동,ㄱㄹㅈㄷ
439,그리다,동,ㄱㄹㄷ
7460,그리워하다,동,ㄱㄹㅇㅎㄷ
1866,그만두다,동,ㄱㅁㄷㄷ
1150,그치다,동,ㄱㅊㄷ
1355,극복하다,동,ㄱㅂㅎㄷ
3912,근거하다,동,ㄱㄱㅎㄷ
2761,근무하다,동,ㄱㅁㅎㄷ
4773,긁다,동,ㄱㄷ
5586,금지되다,동,ㄱㅈㄷㄷ
4774,금지하다,동,ㄱㅈㅎㄷ
4976,금하다,동,ㄱㅎㄷ
5461,급증하다,동,ㄱㅈㅎㄷ
3854,긋다,동,ㄱㄷ
6757,기념하다,동,ㄱㄴㅎㄷ
5085,기다,동,ㄱㄷ
298,기다리다,동,ㄱㄷㄹㄷ
3680,기대다,동,ㄱㄷㄷ
4977,기대되다,동,ㄱㄷㄷㄷ
1303,기대하다,동,ㄱㄷㅎㄷ
5587,기도하다,동,ㄱㄷㅎㄷ
4185,기록되다,동,ㄱㄹㄷㄷ
1261,기록하다,동,ㄱㄹㅎㄷ
882,기르다,동,ㄱㄹㄷ
3308,기뻐하다,동,ㄱㅃㅎㄷ
5871,기술하다,동,ㄱㅅㅎㄷ
7464,기억나다,동,ㄱㅇㄴㄷ
9945,기억되다,동,ㄱㅇㄷㄷ
1905,기억하다,동,ㄱㅇㅎㄷ
2992,기여하다,동,ㄱㅇㅎㄷ
5732,기울다,동,ㄱㅇㄷ
1282,기울이다,동,ㄱㅇㅇㄷ
3223,기초하다,동,ㄱㅊㅎㄷ
9069,긴장되다,동,ㄱㅈㄷㄷ
3856,긴장하다,동,ㄱㅈㅎㄷ
6374,길어지다,동,ㄱㅇㅈㄷ
9949,까다,동,ㄲㄷ
9498,까먹다,동,ㄲㅁㄷ
2465,깎다,동,ㄲㄷ
3180,깔다,동,ㄲㄷ
2650,깔리다,동,ㄲㄹㄷ
9072,깨끗해지다,동,ㄲㄲㅎㅈㄷ
2277,깨다,동,ㄲㄷ
3394,깨다,동,ㄲㄷ
1139,깨닫다,동,ㄲㄷㄷ
5589,깨뜨리다,동,ㄲㄸㄹㄷ
3681,깨어나다,동,ㄲㅇㄴㄷ
8322,깨어지다,동,ㄲㅇㅈㄷ
4495,깨우다,동,ㄲㅇㄷ
2792,깨지다,동,ㄲㅈㄷ
791,꺼내다,동,ㄲㄴㄷ
3795,꺼지다,동,ㄲㅈㄷ
3070,꺾다,동,ㄲㄷ
3682,꼽히다,동,ㄲㅎㄷ
3462,꽂다,동,ㄲㄷ
3028,꾸다,동,ㄲㄷ
9503,꾸다,동,ㄲㄷ
5186,꾸리다,동,ㄲㄹㄷ
1635,꾸미다,동,ㄲㅁㄷ
3071,꿈꾸다,동,ㄲㄲㄷ
2495,끄다,동,ㄲㄷ
2208,끄덕이다,동,ㄲㄷㅇㄷ
4497,끊기다,동,ㄲㄱㄷ
1614,끊다,동,ㄲㄷ
3797,끊어지다,동,ㄲㅇㅈㄷ
568,끌다,동,ㄲㄷ
5736,끌리다,동,ㄲㄹㄷ
